id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_dokter_umum,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,524,ORANG,2016
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,87,ORANG,2016
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,119,ORANG,2016
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,180,ORANG,2016
5,32,JAWA BARAT,3205,KABUPATEN GARUT,125,ORANG,2016
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,78,ORANG,2016
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,29,ORANG,2016
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,114,ORANG,2016
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,219,ORANG,2016
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,94,ORANG,2016
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,127,ORANG,2016
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,128,ORANG,2016
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,69,ORANG,2016
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,81,ORANG,2016
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,219,ORANG,2016
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,325,ORANG,2016
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,215,ORANG,2016
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,18,ORANG,2016
19,32,JAWA BARAT,3271,KOTA BOGOR,301,ORANG,2016
20,32,JAWA BARAT,3272,KOTA SUKABUMI,115,ORANG,2016
21,32,JAWA BARAT,3273,KOTA BANDUNG,483,ORANG,2016
22,32,JAWA BARAT,3274,KOTA CIREBON,112,ORANG,2016
23,32,JAWA BARAT,3275,KOTA BEKASI,281,ORANG,2016
24,32,JAWA BARAT,3276,KOTA DEPOK,368,ORANG,2016
25,32,JAWA BARAT,3277,KOTA CIMAHI,150,ORANG,2016
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,101,ORANG,2016
27,32,JAWA BARAT,3279,KOTA BANJAR,33,ORANG,2016
