id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_ibu_hamil_anemia,satuan,tahun
68,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,2509,ORANG,2017
69,32,JAWA BARAT,3215,KABUPATEN KARAWANG,6658,ORANG,2017
70,32,JAWA BARAT,3216,KABUPATEN BEKASI,518,ORANG,2017
71,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1796,ORANG,2017
72,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,1163,ORANG,2017
73,32,JAWA BARAT,3271,KOTA BOGOR,1873,ORANG,2017
74,32,JAWA BARAT,3272,KOTA SUKABUMI,460,ORANG,2017
75,32,JAWA BARAT,3273,KOTA BANDUNG,575,ORANG,2017
76,32,JAWA BARAT,3274,KOTA CIREBON,514,ORANG,2017
77,32,JAWA BARAT,3275,KOTA BEKASI,2115,ORANG,2017
78,32,JAWA BARAT,3276,KOTA DEPOK,1733,ORANG,2017
79,32,JAWA BARAT,3277,KOTA CIMAHI,195,ORANG,2017
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,1267,ORANG,2017
81,32,JAWA BARAT,3279,KOTA BANJAR,348,ORANG,2017
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,3627,ORANG,2018
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3923,ORANG,2018
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,2407,ORANG,2018
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,6104,ORANG,2018
86,32,JAWA BARAT,3205,KABUPATEN GARUT,5843,ORANG,2018
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,2232,ORANG,2018
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,2822,ORANG,2018
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,3887,ORANG,2018
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,5679,ORANG,2018
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1237,ORANG,2018
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,1799,ORANG,2018
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,4012,ORANG,2018
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,2881,ORANG,2018
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,2094,ORANG,2018
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,4023,ORANG,2018
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,719,ORANG,2018
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,2554,ORANG,2018
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,933,ORANG,2018
100,32,JAWA BARAT,3271,KOTA BOGOR,2027,ORANG,2018
101,32,JAWA BARAT,3272,KOTA SUKABUMI,641,ORANG,2018
102,32,JAWA BARAT,3273,KOTA BANDUNG,633,ORANG,2018
103,32,JAWA BARAT,3274,KOTA CIREBON,675,ORANG,2018
104,32,JAWA BARAT,3275,KOTA BEKASI,2578,ORANG,2018
105,32,JAWA BARAT,3276,KOTA DEPOK,3577,ORANG,2018
106,32,JAWA BARAT,3277,KOTA CIMAHI,282,ORANG,2018
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,1549,ORANG,2018
108,32,JAWA BARAT,3279,KOTA BANJAR,457,ORANG,2018
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,7002,ORANG,2019
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3923,ORANG,2019
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,1998,ORANG,2019
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,7197,ORANG,2019
113,32,JAWA BARAT,3205,KABUPATEN GARUT,6669,ORANG,2019
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,2791,ORANG,2019
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,3063,ORANG,2019
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,3522,ORANG,2019
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,5655,ORANG,2019
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1067,ORANG,2019
119,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,1536,ORANG,2019
120,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,9700,ORANG,2019
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,2315,ORANG,2019
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,2200,ORANG,2019
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,8116,ORANG,2019
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,861,ORANG,2019
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,3314,ORANG,2019
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,920,ORANG,2019
127,32,JAWA BARAT,3271,KOTA BOGOR,2218,ORANG,2019
128,32,JAWA BARAT,3272,KOTA SUKABUMI,539,ORANG,2019
129,32,JAWA BARAT,3273,KOTA BANDUNG,1649,ORANG,2019
130,32,JAWA BARAT,3274,KOTA CIREBON,753,ORANG,2019
131,32,JAWA BARAT,3275,KOTA BEKASI,2214,ORANG,2019
132,32,JAWA BARAT,3276,KOTA DEPOK,4163,ORANG,2019
133,32,JAWA BARAT,3277,KOTA CIMAHI,430,ORANG,2019
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,1389,ORANG,2019
135,32,JAWA BARAT,3279,KOTA BANJAR,622,ORANG,2019
136,32,JAWA BARAT,3201,KABUPATEN BOGOR,4968,ORANG,2020
137,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3845,ORANG,2020
138,32,JAWA BARAT,3203,KABUPATEN CIANJUR,1295,ORANG,2020
139,32,JAWA BARAT,3204,KABUPATEN BANDUNG,3815,ORANG,2020
140,32,JAWA BARAT,3205,KABUPATEN GARUT,5901,ORANG,2020
141,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,2682,ORANG,2020
142,32,JAWA BARAT,3207,KABUPATEN CIAMIS,2204,ORANG,2020
143,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,2871,ORANG,2020
144,32,JAWA BARAT,3209,KABUPATEN CIREBON,4105,ORANG,2020
145,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,895,ORANG,2020
146,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,1058,ORANG,2020
147,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,2161,ORANG,2020
148,32,JAWA BARAT,3213,KABUPATEN SUBANG,2585,ORANG,2020
149,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,1642,ORANG,2020
150,32,JAWA BARAT,3215,KABUPATEN KARAWANG,8020,ORANG,2020
151,32,JAWA BARAT,3216,KABUPATEN BEKASI,835,ORANG,2020
152,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,2047,ORANG,2020
153,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,767,ORANG,2020
154,32,JAWA BARAT,3271,KOTA BOGOR,1545,ORANG,2020
155,32,JAWA BARAT,3272,KOTA SUKABUMI,417,ORANG,2020
156,32,JAWA BARAT,3273,KOTA BANDUNG,1785,ORANG,2020
157,32,JAWA BARAT,3274,KOTA CIREBON,518,ORANG,2020
158,32,JAWA BARAT,3275,KOTA BEKASI,1614,ORANG,2020
159,32,JAWA BARAT,3276,KOTA DEPOK,3496,ORANG,2020
160,32,JAWA BARAT,3277,KOTA CIMAHI,332,ORANG,2020
161,32,JAWA BARAT,3278,KOTA TASIKMALAYA,1265,ORANG,2020
162,32,JAWA BARAT,3279,KOTA BANJAR,578,ORANG,2020
